,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
1818,1819,Abdul Haseeb Malik,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,University of York,UK,2012.0,Concurrency and Parallelism Operating System Kernels Programming Languages Computer Architecture Internet of Things,,PhD
1819,1820,Asim Jalal,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,University of Southampton,UK,,"Human Computer Interaction, Technology Enhanced Learning, Learning Analytics, Persuasive Technologies, UX Design",,PhD
1820,1821,Huma Javed,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,Liverpool John Moores University,UK,2008.0,"Middleware, Sensor networks, Embedded systems, Pervasive computing ,Wireless communications.",Currently Member of Board of  Studies of Kohat University and Shaheed Benazir Bhutto  University,PhD
1822,1823,Muhammad Naeem,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,Brock University Canada,Canada,,,,PhD
1823,1824,Naveed Ahmad,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,University of Surrey,UK,2013.0,"Intelligent Transport System, Security, Privacy, Formal Modelling Delay Tolerant Networking, multicasting",,PhD
1824,1825,Waheed ur Rehman,University of Peshawar,Computer Science,KPK,Assistant Professor,PhD,University of Westminster,UK,2016.0,"60-GHz networks, resource allocation in HetNets, Capacity analysis in wireless networks",,PhD
1835,1836,Wajeeha Khalil,"University of Engineering and Technology,Peshawar",Computer Science,KPK,Chairperson,PhD,,Austria,,,,PhD
1836,1837,Iftikhar Ahmad,"University of Engineering and Technology,Peshawar",Computer Science,KPK,Assistant Professor,PhD,University of Saarland,Germany,2013.0,"Blockchain and Cryptocurrencies, Graph Theory and Social Networks, Combinatorial Optimization, Algorithm Engineering, Game Theory, Algorithmic Trading",,PhD
1837,1838,Kamran Ghani,"University of Engineering and Technology,Peshawar",Computer Science,KPK,Assistant Professor,PhD,,UK,,,,PhD
1843,1844,Suhail Yousaf,"University of Engineering and Technology,Peshawar",Computer Science,KPK,Lecturer,PhD,,Netherland,,"Distributed Systems, Internet of Things, High-performance Computing, GPU Computing, Wireless Sensor Networks, Pervasive Computing",,PhD
1852,1853,Kareem Akhtar,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Coordinator,PhD,,USA,,,,PhD
1853,1854,Noor Mohammad,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Professor/HoD,PhD,,UK,,,,PhD
1854,1855,Syed Adeel Ali Shah,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Assistant Professor,PhD,,Malaysia,,,,PhD
1855,1856,M. Owais Mahmudi,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Assistant Professor,PhD,,Sweden,,,,PhD
1856,1857,Aamir Saeed,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Assistant Professor,PhD,,Denmark,,,,PhD
1857,1858,Ikram Ullah,"University of Engineering and Technology,Jalozai Campus",Computer Science,KPK,Assistant Professor,PhD,,Sweden,,,,PhD
1860,1861,Zafar Mahmood,"University of Agriculture,Peshawar",Computer Science,KPK,Associate Professor,PhD,University of Rochester,USA,2010.0,Applied Statistics and Biostatistics,,PhD
1889,1890,Omar Usman Khan,"FAST,Peshawar",Computer Science,KPK,Associate Professor/HoD,PhD,Politecnico di Torino,Italy,2013.0,,HEC approved PhD Supervisor,PhD
1890,1891,Muhammad Nauman,"FAST,Peshawar",Computer Science,KPK,Associate Professor,PhD,University of Kuala Lumpur,Malaysia,2014.0,Machine Learning in Security and Privacy,HEC approved PhD Supervisor,PhD
1891,1892,Nouman Azam,"FAST,Peshawar",Computer Science,KPK,Associate Professor,PhD,University of Regina,Canada,2014.0,,HEC approved PhD Supervisor,PhD
1892,1893,Hafeez ur Rehman,"FAST,Peshawar",Computer Science,KPK,Assistant Professor,PhD,Politecnico di Torino,Italy,2014.0,,HEC approved PhD Supervisor,PhD
1893,1894,Usman Habib,"FAST,Peshawar",Computer Science,KPK,Assistant Professor,PhD,TU Wien,Austria,2014.0,,,PhD
1904,1905,GHUFRAN ULLAH,City University,Computer Science,KPK,Assistant Professor,PhD,University of Technology,Malaysia,2014.0,WIRELESS SENSOR NETWORK��,,PhD
1905,1906,RASHID NASEEM,City University,Computer Science,KPK,Assistant Professor/HoD ,PhD,Universiti Tun Hussein Onn Malaysia,Malaysia,2016.0,"Software Modularization, Software Architecture Recovery, Bugs Prioritization, Software Quality Metrics, Clustering, Classification, Digital Forensics (Files recovery)  ",,PhD
1927,1928,Zahid Saleem,Abasyn University,Computer Science,KPK,Dean,PhD,University of Essex,UK,,Electronic System Engineering / Optical Communication Systems,,PhD
1929,1930,Muhammad Arshad,Abasyn University,Computer Science,KPK,Assistant Professor,PhD,"John Moorse University, Liverpool",UK,,,,PhD
1930,1931,Javed Iqbal Bangash,Abasyn University,Computer Science,KPK,Assistant Professor,PhD,University of Technology,Malaysia,,,,PhD
1971,1972,Dr. Khalid J Siddiqui,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Professor/Dean,PhD,"Concordia University,Montreal",Canada,1994.0,"Pattern Recognition,Non-destructive testing, Biomedical engineering, Chemometrics, Image/signal processing; Knowledge Based & Decision Systems",,PhD
1973,1974,Dr. Ghulam Abbas,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Associate Professor,PhD,,UK,,"Computer networks, wireless communications and distributed systems",,PhD
1974,1975,Dr. Ahmar Rashid,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Associate Professor,PhD,JNU,South Korea,,"Electrical Impedance Tomography, Inverse algorithms, evolutionary algorithms (EAs), Robotic Vision and Bioinformatics",,PhD
1975,1976,Dr. Fawad Hussain,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Associate Professor,PhD,Grenoble,France,,"Machine Learning, Big Data Anaysis, Data Mining, Artificial Intelligence, Semantic Analysis",,PhD
1977,1978,Dr. Rashad M Jillani,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Assistant Professor,PhD,Florida Atlantic University,USA,2012.0,"Digital Multimedia Systems, Video Compression and Communication, Video Transcoding, Content Adaptation, Pervasive Media delivery",,PhD
1978,1979,Dr. Asif Khan,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Assistant Professor,PhD,,Austria,,"Unmanned Aerial Vehicle (UAV), Multirobot Systems and Image Processing",,PhD
1980,1981,Dr. Sajid Anwar,Ghulam Ishaq Khan Institute,Computer Science and Engineering,KPK,Assistant Professor,PhD,Seoul National University,South Korea,,"Pruning and Quantizing CNN, GPGPU,",,PhD
